Date,Unemp_Hispanic,Unemp_Asian,Unemp_Black,Unemp_White,Unemp_Civilian,Unemp_Men,Unemp_Women,Unemp_White_Men,20-24,25-34,35-44,45-54,55 and up,"Unemp (>25, less than HS)","Unemp (>25, HS)","Unemp (>25, College)","Unemp (>25, Master)","Unemp (>25, Doctoral)"
2021-03-01,7.9,5.9,9.6,5.4,6.0,6.2,5.9,3.3480000000000003,10.3,6.7,5.1,4.5,4.5,8.2,6.7,3.7,3.6,1.6
2021-02-01,8.5,5.1,9.9,5.6,6.2,6.3,6.1,3.527999999999999,9.6,6.4,5.7,4.9,5.3,10.1,7.2,3.8,3.6,1.6
2021-01-01,8.6,6.8,9.2,5.7,6.3,6.4,6.3,3.6480000000000006,9.7,6.8,5.7,4.9,5.3,9.1,7.1,4.0,3.7,2.3
2020-12-01,9.3,5.8,9.9,6.0,6.7,6.7,6.7,4.02,11.2,6.6,5.5,5.3,6.0,9.8,7.8,3.8,3.5,1.4
2020-11-01,8.4,6.7,10.3,5.9,6.7,6.9,6.4,4.071000000000001,10.7,7.0,5.6,5.5,5.8,9.2,7.8,4.2,3.5,1.9
2020-10-01,8.8,7.5,10.8,6.0,6.9,7.0,6.8,4.2,10.9,7.3,5.8,6.0,5.5,9.9,8.1,4.2,3.6,1.9
2020-09-01,10.3,8.8,12.0,7.0,7.8,7.7,8.0,5.39,12.5,8.6,6.2,6.4,6.6,10.7,9.0,4.7,3.9,2.0
2020-08-01,10.5,10.7,12.8,7.4,8.4,8.3,8.6,6.142000000000001,14.1,9.6,6.4,6.2,7.6,12.6,9.8,5.3,4.9,3.7
2020-07-01,12.7,12.2,14.4,9.2,10.2,9.8,10.6,9.015999999999998,18.1,11.3,8.0,7.8,8.7,15.1,10.8,6.7,6.0,3.6
2020-06-01,14.5,13.9,15.3,10.1,11.1,10.5,11.7,10.604999999999999,19.6,11.7,9.0,8.4,9.6,16.4,12.2,6.9,5.6,4.5
2020-05-01,17.6,14.8,16.7,12.3,13.3,12.2,14.5,15.006,23.1,13.4,10.1,10.7,11.8,19.6,15.3,7.4,5.6,3.5
2020-04-01,18.9,14.3,16.7,14.1,14.8,13.6,16.1,19.176,25.6,14.6,11.5,12.3,13.6,21.0,17.3,8.4,6.7,3.2
2020-03-01,6.0,4.1,6.8,3.9,4.4,4.4,4.4,1.7160000000000002,8.6,4.2,3.4,3.2,3.3,6.9,4.3,2.5,2.5,1.9
2020-02-01,4.4,2.5,6.0,3.0,3.5,3.5,3.4,1.05,6.3,3.7,2.7,2.5,2.6,5.8,3.5,1.9,1.7,1.2
2020-01-01,4.3,3.2,6.1,3.0,3.5,3.5,3.5,1.05,6.6,3.8,2.7,2.4,2.6,5.7,3.7,2.0,2.0,0.9
2019-12-01,4.3,2.4,6.2,3.1,3.6,3.5,3.6,1.085,6.6,3.7,2.8,2.5,2.4,5.3,3.7,1.9,1.8,1.1
2019-11-01,4.3,2.6,5.7,3.3,3.6,3.6,3.6,1.1879999999999997,6.7,3.7,2.8,2.6,2.7,5.4,3.8,2.0,2.1,1.1
2019-10-01,4.2,2.8,5.6,3.3,3.6,3.7,3.5,1.2209999999999999,6.4,3.8,2.7,2.6,2.7,5.7,3.8,2.1,2.0,0.6
2019-09-01,4.0,2.4,5.4,3.2,3.5,3.6,3.3,1.1520000000000001,6.4,3.5,2.6,2.8,2.4,5.0,3.6,2.0,1.8,0.9
2019-08-01,4.2,2.9,5.2,3.4,3.7,3.7,3.6,1.258,7.1,3.6,2.8,2.8,2.6,5.4,3.6,2.1,2.5,1.6
2019-07-01,4.4,3.0,5.6,3.3,3.6,3.7,3.6,1.2209999999999999,6.5,3.7,2.7,2.6,2.6,5.0,3.6,2.2,2.9,0.9
2019-06-01,4.3,2.3,6.0,3.3,3.6,3.6,3.6,1.1879999999999997,5.9,3.5,2.8,2.8,3.0,5.3,4.0,2.1,2.4,1.2
2019-05-01,4.1,2.3,6.1,3.3,3.7,3.7,3.6,1.2209999999999999,6.9,3.5,2.7,2.6,2.8,5.2,3.6,2.2,1.7,1.0
2019-04-01,4.1,2.1,6.6,3.2,3.7,3.9,3.5,1.248,6.6,3.9,2.7,2.6,2.6,5.3,3.5,2.1,1.5,0.9
2019-03-01,4.5,3.0,6.5,3.3,3.8,3.9,3.7,1.287,7.1,3.9,2.8,2.8,2.6,5.8,3.6,2.0,1.8,1.1
2019-02-01,4.3,3.2,7.0,3.2,3.8,3.8,3.8,1.216,7.1,4.0,2.6,2.8,2.7,5.4,3.6,2.2,1.8,1.4
2019-01-01,4.8,3.2,6.9,3.5,4.0,4.0,3.9,1.4000000000000001,7.5,3.9,2.9,2.9,3.2,5.8,3.6,2.4,2.2,1.3
2018-12-01,4.5,3.1,6.8,3.4,3.9,4.0,3.8,1.3599999999999999,7.4,4.0,2.8,2.9,3.0,5.9,3.8,2.2,2.1,1.3
2018-11-01,4.6,2.7,6.2,3.4,3.8,3.7,3.8,1.258,6.9,3.8,3.0,2.7,2.9,5.7,3.6,2.2,2.0,0.9
2018-10-01,4.4,3.1,6.4,3.3,3.8,3.8,3.7,1.254,7.0,3.7,3.0,2.8,2.9,6.0,4.1,2.0,1.9,1.0
2018-09-01,4.6,3.5,6.2,3.3,3.7,3.8,3.6,1.254,7.0,3.6,2.9,2.7,2.8,5.8,3.8,2.0,1.9,1.6
2018-08-01,4.7,3.0,6.2,3.4,3.8,3.9,3.8,1.3259999999999998,6.8,4.1,2.9,2.5,3.0,5.6,3.9,2.0,2.9,1.8
2018-07-01,4.5,3.3,6.4,3.3,3.8,3.8,3.8,1.254,6.7,3.5,2.9,2.8,3.0,5.0,4.1,2.2,3.0,1.6
2018-06-01,4.6,3.4,6.5,3.5,4.0,4.1,3.9,1.4349999999999998,7.3,3.9,3.1,3.1,3.1,5.5,4.2,2.3,2.6,1.9
2018-05-01,4.8,2.0,5.8,3.5,3.8,4.0,3.7,1.4000000000000001,6.9,3.9,2.9,2.8,2.8,5.3,4.0,2.1,1.7,1.6
2018-04-01,4.8,2.7,6.5,3.6,4.0,4.2,3.9,1.5120000000000002,6.9,4.3,3.0,2.9,3.0,5.8,4.3,2.1,1.6,1.5
2018-03-01,4.9,3.0,6.6,3.5,4.0,4.0,4.0,1.4000000000000001,6.5,4.0,3.2,2.8,3.1,5.4,4.2,2.2,1.8,2.2
2018-02-01,4.9,3.0,6.8,3.6,4.1,4.0,4.1,1.44,6.8,4.2,3.1,2.9,3.2,5.7,4.3,2.2,2.2,2.0
2018-01-01,4.9,3.1,7.5,3.5,4.0,4.1,4.0,1.4349999999999998,7.1,4.2,3.0,2.9,3.0,5.5,4.4,2.1,2.3,1.5
2017-12-01,5.0,2.4,6.9,3.7,4.1,4.1,4.1,1.517,7.3,4.5,3.0,2.7,3.3,6.3,4.2,2.2,1.8,1.6
2017-11-01,4.9,3.0,7.5,3.7,4.2,4.3,4.1,1.591,7.5,4.4,3.2,2.8,3.2,5.2,4.4,2.1,1.8,1.4
