,date,Civilian Unemployment Rate,Unemployment Rate: White,Unemployment Rate: Hispanic or Latino,Unemployment Rate: Black or African American,Unemployment Rate: Asian,Unemployment Rate: Men,Unemployment Rate: Women,Unemployment Rate: 20 to 24 years,Unemployment Rate: 25 to 34 years,Unemployment Rate: 35 to 44 years,Unemployment Rate: 45 to 54 years,Unemployment Rate: 55 years and over,"Unemployment Rate: Less than a High School Diploma, 25 years and over","Unemployment Rate: High School Graduates, No College, 25 years and over","Unemployment Rate: College Graduates: Bachelor's Degree and Higher, 25 years and over","Unemployment Rate - College Graduates - Master's Degree, 25 years and over","Unemployment Rate - College Graduates - Doctoral Degree, 25 years and over"
0,2021-03-01,6.0,5.4,7.9,9.6,5.9,6.2,5.9,10.3,6.7,5.1,4.5,4.5,8.2,6.7,3.7,3.6,1.6
1,2021-02-01,6.2,5.6,8.5,9.9,5.1,6.3,6.1,9.6,6.4,5.7,4.9,5.3,10.1,7.2,3.8,3.6,1.6
2,2021-01-01,6.3,5.7,8.6,9.2,6.8,6.4,6.3,9.7,6.8,5.7,4.9,5.3,9.1,7.1,4.0,3.7,2.3
3,2020-12-01,6.7,6.0,9.3,9.9,5.8,6.7,6.7,11.2,6.6,5.5,5.3,6.0,9.8,7.8,3.8,3.5,1.4
4,2020-11-01,6.7,5.9,8.4,10.3,6.7,6.9,6.4,10.7,7.0,5.6,5.5,5.8,9.2,7.8,4.2,3.5,1.9
5,2020-10-01,6.9,6.0,8.8,10.8,7.5,7.0,6.8,10.9,7.3,5.8,6.0,5.5,9.9,8.1,4.2,3.6,1.9
6,2020-09-01,7.8,7.0,10.3,12.0,8.8,7.7,8.0,12.5,8.6,6.2,6.4,6.6,10.7,9.0,4.7,3.9,2.0
7,2020-08-01,8.4,7.4,10.5,12.8,10.7,8.3,8.6,14.1,9.6,6.4,6.2,7.6,12.6,9.8,5.3,4.9,3.7
8,2020-07-01,10.2,9.2,12.7,14.4,12.2,9.8,10.6,18.1,11.3,8.0,7.8,8.7,15.1,10.8,6.7,6.0,3.6
9,2020-06-01,11.1,10.1,14.5,15.3,13.9,10.5,11.7,19.6,11.7,9.0,8.4,9.6,16.4,12.2,6.9,5.6,4.5
10,2020-05-01,13.3,12.3,17.6,16.7,14.8,12.2,14.5,23.1,13.4,10.1,10.7,11.8,19.6,15.3,7.4,5.6,3.5
11,2020-04-01,14.8,14.1,18.9,16.7,14.3,13.6,16.1,25.6,14.6,11.5,12.3,13.6,21.0,17.3,8.4,6.7,3.2
